state,avg_poll
Alabama,38
Alaska,46
Arizona,48
Arkansas,38
California,62
Colorado,50
Connecticut,61
D.C.,86
Delaware,58
Florida,48
Georgia,48
Hawaii,66
Idaho,34
Illinois,53
Indiana,39
Iowa,47
Kansas,42
Kentucky,38
Louisiana,38
Maine,53
Maryland,61
Massachusetts,66
Michigan,51
Minnesota,50
Mississippi,44
Missouri,46
Montana,43
Nebraska,41
Nevada,50
New Hampshire,53
New Jersey,53
New Mexico,53
New York,61
North Carolina,49
North Dakota,37
Ohio,47
Oklahoma,33
Oregon,56
Pennsylvania,51
Rhode Island,62
South Carolina,44
South Dakota,41
Tennessee,41
Texas,45
Utah,38
Vermont,56
Virginia,55
Washington,58
West Virginia,38
Wisconsin,50
Wyoming,34
