state,avg_poll
Alabama,58
Alaska,52
Arizona,45
Arkansas,62
California,30
Colorado,40
Connecticut,37
D.C.,12
Delaware,35
Florida,44
Georgia,47
Hawaii,33
Idaho,60
Illinois,40
Indiana,53
Iowa,47
Kansas,52
Kentucky,58
Louisiana,60
Maine,39
Maryland,31
Massachusetts,32
Michigan,43
Minnesota,41
Mississippi,55
Missouri,51
Montana,53
Nebraska,57
Nevada,43
New Hampshire,44
New Jersey,38
New Mexico,39
New York,29
North Carolina,46
North Dakota,56
Ohio,46
Oklahoma,55
Oregon,39
Pennsylvania,44
Rhode Island,37
South Carolina,50
South Dakota,58
Tennessee,58
Texas,49
Utah,52
Vermont,32
Virginia,41
Washington,36
West Virginia,60
Wisconsin,43
Wyoming,65
